date,B1,B2,B3,T1,G1,G2,G3,G4,G5,G6,G7,G8,G9
2016-10-12,803.659925,181.19962,-92.376192,0.610693,-3.348099,-1.831459,-0.032128,4.0626,3.151756,-0.891065,-1.135221,0.0,0.0
2016-10-13,804.063835,192.756831,-100.781379,0.585157,0.364205,-0.753048,-4.973285,4.536359,11.45307,-3.110674,-4.141584,0.0,0.0
2016-10-14,803.23778,194.704928,-118.32387,0.672743,-0.10941,-0.561546,-7.395585,2.374139,7.605557,-1.868346,-2.560844,0.0,0.0
2016-10-17,825.559433,185.600691,-156.521236,0.602934,-1.407676,-0.798096,-5.168692,5.126619,4.124345,-2.01167,-2.213316,0.0,0.0
2016-10-18,823.114469,157.441104,-115.807181,0.638866,-0.745962,0.038071,-5.113534,6.007927,3.958858,-1.903406,-1.900058,0.0,0.0
2016-10-19,813.448148,166.048536,-115.452518,0.689604,-1.755897,-0.857461,-6.124045,3.637543,2.081971,-1.795344,-2.009583,0.0,0.0
2016-10-20,811.307006,172.876695,-114.881274,0.636233,-1.357988,1.859049,-8.360051,5.366506,5.236909,-1.811834,-2.21522,0.0,0.0
2016-10-21,804.486677,197.531841,-129.914168,0.615474,-1.70621,-1.267637,-2.608487,7.083822,4.60145,-2.178886,-1.988777,0.0,0.0
2016-10-24,807.723172,186.620253,-138.792665,0.622346,-0.826861,1.167188,-6.520134,6.923257,5.397224,-2.292641,-2.337904,0.0,0.0
2016-10-25,813.124891,187.827135,-159.733259,0.600973,-1.2583,1.582955,-4.168568,4.612138,3.276949,-1.81027,-1.810028,0.0,0.0
2016-10-26,816.243776,161.866724,-118.411178,0.504173,-1.922802,-0.951084,-3.30344,6.112369,4.125729,-2.067636,-2.161483,0.0,0.0
2016-10-27,823.924341,133.542191,-122.046068,0.646922,-1.67201,-0.88907,-4.836591,3.96117,3.498282,-1.220442,-1.267333,0.0,0.0
2016-10-28,829.396887,138.628046,-151.222712,0.582218,-2.124392,0.48625,-1.044821,7.177089,4.321495,-2.549192,-2.367016,0.0,0.0
2016-10-31,835.03716,155.390006,-177.504463,0.671903,0.010326,2.267908,-8.235907,3.911538,4.502193,-1.431758,-1.675143,0.0,0.0
2016-11-01,834.380779,168.872413,-203.829098,0.658384,2.81061,1.747391,-7.077398,5.034066,3.772662,-2.335803,-2.143822,0.0,0.0
